,Entropia,Uni%,Broad%,Paquetes,2048%, 2054%, 33024%,34999%, 34525%
14,0.463734613831291,1,0,1382,0.907380607814761,0.08972503617945,0,0.002894356005789,0
15,0.881004436235869,1,0,1427,0.700234192037471,0.299765807962529,0,0,0
16,0.865822877159652,1,0,917,0.712230215827338,0.287769784172662,0,0,0
17,0.901837084239023,1,0,1229,0.699300699300699,0.298368298368298,0,0.002331002331002,0
18,0.937081579414062,1,0,1742,0.667420814479638,0.330316742081448,0,0.002262443438914,0
19,0.925202775389528,1,0,2039,0.678815489749431,0.318906605922551,0,0.002277904328018,0
20,0.879789797358104,1,0,2420,0.716666666666667,0.280952380952381,0,0.002380952380952,0
21,0.898367350900676,1,0,1820,0.702380952380952,0.295238095238095,0,0.002380952380952,0
22,0.912116564396104,1,0,1430,0.690697674418605,0.306976744186047,0,0.002325581395349,0
23,0.888029825021434,1,0,1418,0.710526315789474,0.287081339712919,0,0.002392344497608,0
00,0.903637413958373,1,0,1427,0.697892271662763,0.299765807962529,0,0.002341920374707,0
01,0.103421989601842,1,0,8370,0.986595949855352,0.013307618129219,0,9.64320154291225E-05,0
02,0.007121351686299,1,0,16586,0.999438374349025,0.000510568773614,0,5.10568773613806E-05,0
03,0.017674249261661,1,0,13069,0.998393144081414,0.001530338970082,0,7.65169485040936E-05,0
04,0.011931034355265,0.999735729386892,0.000264270613108,7568,0.999075052854123,0.000792811839323,0,0.000132135306554,0
05,0.036437268993577,0.999119253126651,0.000880746873349,11354,0.99656508719394,0.003346838118725,0,8.807468733486E-05,0
06,0.492657927108379,0.994475138121547,0.005524861878453,543,0.906077348066298,0.092081031307551,0,0.001841620626151,0
07,0.293545253580495,1,0,472,0.951271186440678,0.046610169491526,0,0.002118644067797,0
08,0.307590813878974,1,0,145,0.951724137931034,0.041379310344828,0,0.006896551724138,0
09,0.238692134158372,1,0,147,0.965986394557823,0.027210884353742,0,0.006802721088435,0
10,0.30278771905762,1,0,148,0.952702702702703,0.040540540540541,0,0.006756756756757,0
11,0.166041425598901,1,0,317,0.977917981072555,0.018927444794953,0,0.003154574132492,0
12,0.061191523312341,1,0,140,0.992857142857143,0,0,0.007142857142857,0
13,0.164294669534487,1,0,145,0.979310344827586,0.013793103448276,0,0.006896551724138,0
