,Entropia,Uni%,Broad%,Paquetes,2048%, 2054%, 33024%,34999%, 34525%
00:44,0.7024823784597404,0.904251431355829,0.09574856864417103,8209.0,0.8815933731270557,0.11548300645632842,0.0,0.0029236204166159093,0.0
01:44,0.7630088294270845,0.896272682687592,0.10372731731240804,8156.0,0.8760421775380088,0.12358999509563512,0.0,0.0003678273663560569,0.0
02:44,0.793507938390769,0.8953658536585366,0.10463414634146341,8200.0,0.8735365853658537,0.12390243902439024,0.0,0.0025609756097560977,0.0
03:44,0.7713255743362305,0.894240317775571,0.105759682224429,8056.0,0.8759930486593843,0.12288977159880834,0.0,0.0011171797418073487,0.0
04:44,0.7029023404890343,0.8937350308836506,0.10626496911634943,7933.0,0.8874322450523131,0.11218958779780663,0.0,0.00037816714988024705,0.0
05:44,0.7037951211866309,0.8935471650460917,0.10645283495390832,7919.0,0.8872332365197626,0.11238792776865765,0.0,0.00037883571157974494,0.0
06:44,0.7083224020821041,0.8929655870445344,0.10703441295546559,7904.0,0.8870192307692307,0.11234817813765183,0.0,0.0006325910931174089,0.0
07:44,0.6998695444677749,0.8924635845471818,0.10753641545281824,7895.0,0.8891703609879671,0.10994300189993667,0.0,0.0008866371120962635,0.0
08:44,0.6919547384171418,0.8935179358086847,0.1064820641913153,7945.0,0.890119572057898,0.10925110132158591,0.0,0.0006293266205160479,0.0
09:44,0.6949315228308449,0.8933990895295902,0.10660091047040972,7908.0,0.8888467374810319,0.11077389984825492,0.0,0.00037936267071320183,0.0
10:44,0.7286071546754413,0.8936651583710408,0.10633484162895927,7956.0,0.8832327802916038,0.11613876319758673,0.0,0.000628456510809452,0.0
11:44,0.7294634376684408,0.893491124260355,0.10650887573964497,7943.0,0.8830416719123757,0.11632884300642074,0.0,0.0006294850812035755,0.0
12:44,0.7382618487277361,0.8947947214076246,0.10520527859237537,8184.0,0.885019550342131,0.11290322580645162,0.0,0.0020772238514173997,0.0
13:44,0.7210492745345684,0.8945854695510816,0.10541453044891834,7997.0,0.8840815305739653,0.1155433287482806,0.0,0.0003751406777541578,0.0
14:44,0.7282545549051639,0.8959153543307087,0.10408464566929133,8128.0,0.8844734251968505,0.1139271653543307,0.0,0.0015994094488188976,0.0
15:25,0.711864048765496,0.9076547798815193,0.09234522011848066,8609.0,0.8826809153211755,0.11313741433383669,0.0,0.004181670344987803,0.0
16:25,0.6416673959709359,0.9073883750142743,0.0926116249857257,8757.0,0.8966541052871988,0.10254653420121046,0.0,0.0007993605115907274,0.0
17:25,0.6434205477950615,0.9018172640080767,0.09818273599192327,7924.0,0.8885663806158506,0.11130742049469965,0.0,0.00012619888944977284,0.0
18:25,0.6156029531044485,0.9050162866449512,0.09498371335504886,7675.0,0.884299674267101,0.1149185667752443,0.0,0.0007817589576547231,0.0
19:25,0.594573130653958,0.9060802069857697,0.09391979301423027,7730.0,0.8875808538163001,0.11177231565329884,0.0,0.000646830530401035,0.0
20:44,0.5768902863645751,0.9075025693730729,0.09249743062692703,7784.0,0.888874614594039,0.11099691675231244,0.0,0.00012846865364850977,0.0
21:44,0.5912958362629543,0.9054373522458629,0.09456264775413711,7614.0,0.8852114525873391,0.11478854741266088,0.0,0.0,0.0
22:44,0.6514360308060915,0.9059112028910686,0.09408879710893134,7748.0,0.8777749096541043,0.12132163138874548,0.0,0.0009034589571502323,0.0
23:44,0.6511096623244492,0.9057165028453181,0.09428349715468184,7732.0,0.8777806518365235,0.12131401965856183,0.0,0.0009053285049146404,0.0
