ttl,ip,promedio,max,min,intersalto
1,172.21.16.1,3.80707581837972,11.05809211730957,2.086162567138672,3.80707581837972
2,192.168.0.1,11.84997839086196,17.254352569580078,6.605386734008789,8.04290257248224
3,No Response,804.3040900394834,819.4208145141602,801.8624782562256,792.4541116486215
4,No Response,803.644977766892,811.9008541107178,802.4351596832275,791.7949993760301
5,No Response,803.966053600969,813.0521774291992,802.3202419281006,792.116075210107
6,No Response,804.776487679317,840.3222560882568,802.0539283752441,792.9265092884551
7,181.89.2.119,26.18836561838786,53.56597900390625,19.41537857055664,14.3383872275259
8,190.216.88.1,21.46005630493164,28.942346572875977,14.529943466186523,0
9,No Response,803.8649008824275,811.3675117492676,802.6511669158936,782.4048445774959
10,4.68.75.14,146.41888001385857,152.24242210388184,141.81160926818848,124.95882370892693
11,4.69.143.182,239.8141622543335,244.97413635253906,233.98232460021973,93.39528224047493
12,80.88.221.9,240.69801966349283,251.04093551635742,234.7278594970703,0.883857409159333
13,194.88.86.214,242.35499699910483,262.1910572052002,238.13366889953613,1.6569773356119981
14,80.88.223.28,243.26371351877847,252.8362274169922,235.76927185058594,0.9087165196736464
15,80.88.202.241,242.54955450693765,246.84643745422363,234.9693775177002,0
16,80.88.203.2,245.03850936889648,268.1152820587158,237.04290390014648,2.488954861958831
17,No Response,803.5461327125287,807.9545497894287,802.2549152374268,558.5076233436322
18,43.245.43.59,241.94242159525552,247.8487491607666,237.45203018188477,0
19,43.245.43.59,241.05262756347656,245.9120750427246,235.41259765625,0
20,43.245.43.59,242.04224745432535,263.6899948120117,235.6417179107666,0.9896198908487861
21,43.245.43.59,242.49801635742188,246.4766502380371,236.78040504455566,0.4557689030965264
22,43.245.43.59,242.2595500946045,247.2071647644043,237.89429664611816,0
23,43.245.43.59,242.67446200052896,249.2997646331787,237.23816871643066,0.4149119059244697
24,43.245.43.59,241.32988452911377,246.3386058807373,235.54062843322754,0
25,43.245.43.59,242.3433542251587,253.70097160339355,237.37454414367676,1.0134696960449219
26,43.245.43.59,258.1345796585083,697.6535320281982,234.8041534423828,15.79122543334961
27,43.245.43.59,244.53370571136475,270.7986831665039,238.06285858154297,0
28,43.245.43.59,242.525585492452,252.45094299316406,235.3384494781494,0
29,43.245.43.59,245.54713567097983,277.56714820861816,235.83221435546875,3.021550178527832
