ttl,ip,promedio,max,min,intersalto
1,172.21.16.1,4.773489634195964,10.672330856323242,2.4254322052001953,4.773489634195964
2,192.168.0.1,25.25074341717888,251.7104148864746,5.381345748901367,20.477253782982917
3,No Response,804.5265592377762,813.7814998626709,802.3159503936768,779.2758158205972
4,No Response,805.0217299625791,832.2968482971191,801.9986152648926,779.7709865454002
5,No Response,803.3412653824379,804.5542240142822,802.3836612701416,778.090521965259
6,No Response,803.7189450757257,810.0168704986572,802.1199703216553,778.4682016585468
7,181.89.2.119,25.763225555419922,40.48418998718262,19.024372100830078,0.5124821382410403
8,185.70.203.22,19.75565751393636,28.9003849029541,15.288829803466797,0
9,195.22.223.161,400.90118249257404,769.5679664611816,380.1915645599365,381.1455249786377
10,93.186.133.138,424.45526123046875,531.2662124633789,409.12795066833496,23.554078737894713
11,123.49.13.62,419.09048557281494,426.24759674072266,413.23018074035645,0
12,180.211.162.110,419.5143699645996,427.3052215576172,414.73889350891113,0.42388439178466797
13,No Response,804.3871501396442,812.4942779541016,802.65212059021,384.87278017504457
14,163.47.36.130,420.66919803619385,433.89272689819336,414.7508144378662,1.1548280715942383
15,163.47.36.130,419.6768045425415,429.40592765808105,412.3802185058594,0
16,103.94.135.200,430.7825644810994,447.39842414855957,418.60246658325195,11.105759938557924
