port,protocolo,estado,flags
1,tcp,cerrado,RA
1,udp,cerrado,
2,tcp,cerrado,RA
2,udp,cerrado,
3,tcp,cerrado,RA
3,udp,cerrado,
4,tcp,cerrado,RA
4,udp,cerrado,
5,tcp,cerrado,RA
5,udp,cerrado,
6,tcp,cerrado,RA
6,udp,cerrado,
7,tcp,cerrado,RA
7,udp,cerrado,
8,tcp,cerrado,RA
8,udp,cerrado,
9,tcp,cerrado,RA
9,udp,cerrado,
10,tcp,cerrado,RA
10,udp,cerrado,
11,tcp,cerrado,RA
11,udp,cerrado,
12,tcp,cerrado,RA
12,udp,cerrado,
13,tcp,cerrado,RA
13,udp,cerrado,
14,tcp,cerrado,RA
14,udp,abierto|filtrado,
15,tcp,cerrado,RA
15,udp,cerrado,
16,tcp,cerrado,RA
16,udp,cerrado,
17,tcp,cerrado,RA
17,udp,cerrado,
18,tcp,cerrado,RA
18,udp,cerrado,
19,tcp,cerrado,RA
19,udp,abierto|filtrado,
20,tcp,cerrado,RA
20,udp,cerrado,
21,tcp,cerrado,RA
21,udp,cerrado,
22,tcp,cerrado,RA
22,udp,cerrado,
23,tcp,cerrado,RA
23,udp,cerrado,
24,tcp,cerrado,RA
24,udp,abierto|filtrado,
25,tcp,cerrado,RA
25,udp,cerrado,
26,tcp,cerrado,RA
26,udp,cerrado,
27,tcp,cerrado,RA
27,udp,cerrado,
28,tcp,cerrado,RA
28,udp,abierto|filtrado,
29,tcp,cerrado,RA
29,udp,cerrado,
30,tcp,cerrado,RA
30,udp,cerrado,
31,tcp,cerrado,RA
31,udp,cerrado,
32,tcp,cerrado,RA
32,udp,abierto|filtrado,
33,tcp,cerrado,RA
33,udp,cerrado,
34,tcp,cerrado,RA
34,udp,cerrado,
35,tcp,cerrado,RA
35,udp,cerrado,
36,tcp,cerrado,RA
36,udp,cerrado,
37,tcp,cerrado,RA
37,udp,abierto|filtrado,
38,tcp,cerrado,RA
38,udp,cerrado,
39,tcp,cerrado,RA
39,udp,cerrado,
40,tcp,cerrado,RA
40,udp,cerrado,
41,tcp,cerrado,RA
41,udp,abierto|filtrado,
42,tcp,cerrado,RA
42,udp,cerrado,
43,tcp,cerrado,RA
43,udp,cerrado,
44,tcp,cerrado,RA
44,udp,cerrado,
45,tcp,cerrado,RA
45,udp,cerrado,
46,tcp,cerrado,RA
46,udp,abierto|filtrado,
47,tcp,cerrado,RA
47,udp,cerrado,
48,tcp,cerrado,RA
48,udp,cerrado,
49,tcp,cerrado,RA
49,udp,cerrado,
50,tcp,cerrado,RA
50,udp,abierto|filtrado,
51,tcp,cerrado,RA
51,udp,cerrado,
52,tcp,cerrado,RA
52,udp,cerrado,
53,tcp,cerrado,RA
53,udp,cerrado,
54,tcp,cerrado,RA
54,udp,abierto|filtrado,
55,tcp,cerrado,RA
55,udp,cerrado,
56,tcp,cerrado,RA
56,udp,cerrado,
57,tcp,cerrado,RA
57,udp,cerrado,
58,tcp,cerrado,RA
58,udp,cerrado,
59,tcp,cerrado,RA
59,udp,abierto|filtrado,
60,tcp,cerrado,RA
60,udp,cerrado,
61,tcp,cerrado,RA
61,udp,cerrado,
62,tcp,cerrado,RA
62,udp,cerrado,
63,tcp,cerrado,RA
63,udp,abierto|filtrado,
64,tcp,cerrado,RA
64,udp,cerrado,
65,tcp,cerrado,RA
65,udp,cerrado,
66,tcp,cerrado,RA
66,udp,cerrado,
67,tcp,cerrado,RA
67,udp,abierto|filtrado,
68,tcp,cerrado,RA
68,udp,abierto|filtrado,
69,tcp,cerrado,RA
69,udp,cerrado,
70,tcp,cerrado,RA
70,udp,cerrado,
71,tcp,cerrado,RA
71,udp,cerrado,
72,tcp,cerrado,RA
72,udp,cerrado,
73,tcp,cerrado,RA
73,udp,cerrado,
74,tcp,cerrado,RA
74,udp,cerrado,
75,tcp,cerrado,RA
75,udp,cerrado,
76,tcp,cerrado,RA
76,udp,cerrado,
77,tcp,cerrado,RA
77,udp,abierto|filtrado,
78,tcp,cerrado,RA
78,udp,cerrado,
79,tcp,cerrado,RA
79,udp,cerrado,
80,tcp,abierto,SA
80,udp,cerrado,
81,tcp,cerrado,RA
81,udp,cerrado,
82,tcp,cerrado,RA
82,udp,cerrado,
83,tcp,cerrado,RA
83,udp,cerrado,
84,tcp,cerrado,RA
84,udp,cerrado,
85,tcp,cerrado,RA
85,udp,cerrado,
86,tcp,cerrado,RA
86,udp,abierto|filtrado,
87,tcp,cerrado,RA
87,udp,cerrado,
88,tcp,cerrado,RA
88,udp,cerrado,
89,tcp,cerrado,RA
89,udp,cerrado,
90,tcp,cerrado,RA
90,udp,cerrado,
91,tcp,cerrado,RA
91,udp,abierto|filtrado,
92,tcp,cerrado,RA
92,udp,cerrado,
93,tcp,cerrado,RA
93,udp,cerrado,
94,tcp,cerrado,RA
94,udp,cerrado,
95,tcp,cerrado,RA
95,udp,abierto|filtrado,
96,tcp,cerrado,RA
96,udp,cerrado,
97,tcp,cerrado,RA
97,udp,cerrado,
98,tcp,cerrado,RA
98,udp,cerrado,
99,tcp,cerrado,RA
99,udp,cerrado,
100,tcp,cerrado,RA
100,udp,abierto|filtrado,
101,tcp,cerrado,RA
101,udp,cerrado,
102,tcp,cerrado,RA
102,udp,cerrado,
103,tcp,cerrado,RA
103,udp,cerrado,
104,tcp,cerrado,RA
104,udp,abierto|filtrado,
105,tcp,cerrado,RA
105,udp,cerrado,
106,tcp,cerrado,RA
106,udp,cerrado,
107,tcp,cerrado,RA
107,udp,cerrado,
108,tcp,cerrado,RA
108,udp,abierto|filtrado,
109,tcp,cerrado,RA
109,udp,cerrado,
110,tcp,cerrado,RA
110,udp,cerrado,
111,tcp,cerrado,RA
111,udp,cerrado,
112,tcp,cerrado,RA
112,udp,cerrado,
113,tcp,cerrado,RA
113,udp,abierto|filtrado,
114,tcp,cerrado,RA
114,udp,cerrado,
115,tcp,cerrado,RA
115,udp,cerrado,
116,tcp,cerrado,RA
116,udp,cerrado,
117,tcp,cerrado,RA
117,udp,abierto|filtrado,
118,tcp,cerrado,RA
118,udp,cerrado,
119,tcp,cerrado,RA
119,udp,cerrado,
120,tcp,cerrado,RA
120,udp,cerrado,
121,tcp,cerrado,RA
121,udp,cerrado,
122,tcp,cerrado,RA
122,udp,abierto|filtrado,
123,tcp,cerrado,RA
123,udp,abierto|filtrado,
124,tcp,cerrado,RA
124,udp,cerrado,
125,tcp,cerrado,RA
125,udp,cerrado,
126,tcp,cerrado,RA
126,udp,cerrado,
127,tcp,cerrado,RA
127,udp,cerrado,
128,tcp,cerrado,RA
128,udp,cerrado,
129,tcp,cerrado,RA
129,udp,cerrado,
130,tcp,cerrado,RA
130,udp,abierto|filtrado,
131,tcp,cerrado,RA
131,udp,cerrado,
132,tcp,cerrado,RA
132,udp,cerrado,
133,tcp,cerrado,RA
133,udp,cerrado,
134,tcp,cerrado,RA
134,udp,cerrado,
135,tcp,filtrado,
135,udp,abierto|filtrado,
136,tcp,cerrado,RA
136,udp,cerrado,
137,tcp,filtrado,
137,udp,abierto|filtrado,
138,tcp,filtrado,
138,udp,abierto|filtrado,
139,tcp,filtrado,
139,udp,abierto|filtrado,
140,tcp,cerrado,RA
140,udp,cerrado,
141,tcp,cerrado,RA
141,udp,cerrado,
142,tcp,cerrado,RA
142,udp,cerrado,
143,tcp,cerrado,RA
143,udp,cerrado,
144,tcp,cerrado,RA
144,udp,cerrado,
145,tcp,cerrado,RA
145,udp,cerrado,
146,tcp,cerrado,RA
146,udp,cerrado,
147,tcp,cerrado,RA
147,udp,cerrado,
148,tcp,cerrado,RA
148,udp,cerrado,
149,tcp,cerrado,RA
149,udp,cerrado,
150,tcp,cerrado,RA
150,udp,cerrado,
151,tcp,cerrado,RA
151,udp,cerrado,
152,tcp,cerrado,RA
152,udp,cerrado,
153,tcp,cerrado,RA
153,udp,abierto|filtrado,
154,tcp,cerrado,RA
154,udp,cerrado,
155,tcp,cerrado,RA
155,udp,cerrado,
156,tcp,cerrado,RA
156,udp,cerrado,
157,tcp,cerrado,RA
157,udp,cerrado,
158,tcp,cerrado,RA
158,udp,abierto|filtrado,
159,tcp,cerrado,RA
159,udp,cerrado,
160,tcp,cerrado,RA
160,udp,cerrado,
161,tcp,cerrado,RA
161,udp,cerrado,
162,tcp,cerrado,RA
162,udp,abierto|filtrado,
163,tcp,cerrado,RA
163,udp,cerrado,
164,tcp,cerrado,RA
164,udp,cerrado,
165,tcp,cerrado,RA
165,udp,cerrado,
166,tcp,cerrado,RA
166,udp,cerrado,
167,tcp,cerrado,RA
167,udp,abierto|filtrado,
